VALUE,MEDIAN,DIFF
97,97,0
119,111,8
124,111,13
118,115,3
111,115,-4
111,115,-4
115,115,0
117,115,2
116,115,1
115,115,0
115,115,0
116,113,3
115,113,2
113,113,0
111,113,-2
112,113,-1
113,113,0
113,113,0
112,113,-1
111,113,-2
112,113,-1
114,113,1
114,113,1
113,113,0
113,113,0
113,113,0
114,113,1
113,113,0
112,113,-1
111,113,-2
112,113,-1
113,112,1
113,112,1
113,112,1
112,112,0
112,112,0
112,112,0
112,112,0
111,112,-1
111,112,-1
112,112,0
112,111,1
112,111,1
111,111,0
111,111,0
111,111,0
111,111,0
110,111,-1
109,111,-2
109,111,-2
109,111,-2
110,111,-1
110,111,-1
110,110,0
110,110,0
111,110,1
111,110,1
111,110,1
111,110,1
111,110,1
111,110,1
110,110,0
109,110,-1
109,110,-1
109,110,-1
110,110,0
110,110,0
110,110,0
110,110,0
109,110,-1
110,110,0
110,110,0
111,111,0
111,111,0
112,111,1
112,111,1
111,111,0
111,111,0
111,111,0
111,111,0
111,111,0
112,111,1
111,111,0
111,111,0
110,110,0
109,109,0
109,109,0
109,109,0
109,109,0
109,109,0
109,109,0
109,109,0
109,109,0
108,109,-1
107,109,-2
107,109,-2
107,109,-2
108,109,-1
108,109,-1
109,109,0
109,109,0
109,108,1
109,108,1
109,108,1
109,108,1
108,108,0
108,108,0
109,108,1
109,108,1
108,108,0
107,108,-1
106,108,-2
107,108,-1
107,108,-1
107,108,-1
107,108,-1
107,108,-1
108,108,0
108,108,0
108,108,0
108,108,0
108,108,0
109,108,1
110,108,2
110,108,2
109,108,1
109,108,1
109,108,1
109,108,1
108,108,0
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
106,107,-1
106,107,-1
107,107,0
107,107,0
108,107,1
108,107,1
107,107,0
107,107,0
107,107,0
107,107,0
107,107,0
106,107,-1
106,107,-1
105,107,-2
106,107,-1
107,106,1
108,106,2
108,106,2
107,106,1
106,106,0
106,106,0
106,106,0
106,106,0
106,106,0
106,106,0
105,106,-1
106,106,0
106,106,0
106,106,0
105,106,-1
104,106,-2
104,106,-2
105,106,-1
106,106,0
107,106,1
106,106,0
106,106,0
106,106,0
106,106,0
107,106,1
107,106,1
107,106,1
107,106,1
107,106,1
107,106,1
107,106,1
106,106,0
106,106,0
106,106,0
105,105,0
105,105,0
104,105,-1
105,105,0
105,105,0
105,105,0
104,105,-1
104,105,-1
104,105,-1
104,105,-1
105,105,0
105,105,0
105,105,0
106,104,2
106,104,2
106,104,2
105,104,1
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
103,104,-1
103,104,-1
103,104,-1
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,103,1
103,103,0
103,103,0
103,104,-1
103,104,-1
104,104,0
104,104,0
103,103,0
103,103,0
103,103,0
103,103,0
103,103,0
104,103,1
104,103,1
105,103,2
104,103,1
103,103,0
102,103,-1
102,103,-1
102,103,-1
103,103,0
103,103,0
103,103,0
103,103,0
103,103,0
103,103,0
104,103,1
104,104,0
104,104,0
103,104,-1
104,104,0
104,104,0
104,104,0
105,104,1
104,104,0
104,104,0
104,104,0
104,104,0
105,104,1
104,104,0
104,104,0
103,104,-1
102,104,-2
103,104,-1
104,104,0
105,104,1
105,104,1
104,104,0
103,104,-1
103,104,-1
102,104,-2
103,104,-1
104,104,0
105,104,1
106,104,2
105,104,1
105,104,1
104,104,0
104,104,0
103,104,-1
103,104,-1
103,104,-1
104,105,-1
105,105,0
105,104,1
104,104,0
104,104,0
104,104,0
105,104,1
105,104,1
105,104,1
105,104,1
105,104,1
104,104,0
104,104,0
103,104,-1
102,104,-2
102,104,-2
103,104,-1
105,104,1
105,104,1
104,104,0
103,104,-1
103,104,-1
103,104,-1
103,104,-1
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
104,104,0
105,104,1
